region,family,vm type,regional_disk,sole_tenant,nested_virtualization,local_ssd,cores,gpu,cpu,memory,network_egress,on demand price,preemptible price
australia-southeast1,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.0357,0.0093
australia-southeast2,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.0357,0.0093
australia,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.0357,0.0093
southamerica-east1,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.04,0.0104
asia-south1,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.0308,0.0084
asia-southeast2,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.033899,0.008829
asia-south2,g1,g1-small,Null,0,0,0,shared,0,['N/A'],1.7,Null,0.0308,0.0084
us,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.5672,0.12
us-central1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.5672,0.12
us-east1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.5672,0.12
us-east4,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6506,0.1284
us-west4,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6506,0.1284
us-west1,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.5672,0.12
us-west2,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6808,0.14331
us-west3,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.6808,0.14331
europe,n1,n1-highcpu-16,1,1,1,1,16,1,"['Skylake', 'Broadwell', 'Haswell', 'Sandy Bridge', 'Ivy Bridge']",14.4,32,0.624,0.132
