Instance,vCPU(s),RAM,Temporary storage,Pay as you go with AHB,1 year reserved with AHB,3 year reserved with AHB,Spot with AHB,Add to estimate,Premium SSD Storage,Clock,Burst,Purpose,Single Customer,Constrained CPU,NVMe Disk,GPU,GPU Model,NVIDIA GRID Supported
M32ms v2,32,875 GiB,N/A,$6.041/hour,$3.5134/hour,$1.6963/hour,$0.6344/hour,,Yes,2.5,2.5,Memory,,,,,,
,,,,,~42% savings,~72% savings,~90% savings,,Yes,2.5,2.5,Memory,,,,,,
M64s v2,64,"1,024 GiB",N/A,$6.459/hour,$3.7563/hour,$1.8136/hour,$0.6782/hour,,Yes,2.5,2.5,Memory,,,,,,
,,,,,~42% savings,~72% savings,~90% savings,,Yes,2.5,2.5,Memory,,,,,,
M64ms v2,64,"1,792 GiB",N/A,$10.13/hour,$5.8914/hour,$2.8445/hour,$1.0637/hour,,Yes,2.5,2.5,Memory,,,,,,
,,,,,~42% savings,~72% savings,~90% savings,,Yes,2.5,2.5,Memory,,,,,,
M128s v2,128,"2,048 GiB",N/A,$12.919/hour,$7.5139/hour,$3.6277/hour,$1.3565/hour,,Yes,2.5,2.5,Memory,,,,,,
,,,,,~42% savings,~72% savings,~90% savings,,Yes,2.5,2.5,Memory,,,,,,
M128ms v2,128,"3,892 GiB",N/A,$26.269/hour,$15.2782/hour,$7.3764/hour,$2.7583/hour,,Yes,2.5,2.5,Memory,,,,,,
,,,,,~42% savings,~72% savings,~90% savings,,Yes,2.5,2.5,Memory,,,,,,
M192is v2,192,"2,048 GiB",N/A,$15.611/hour,$9.0795/hour,$4.3836/hour,$1.6392/hour,,Yes,2.5,2.5,Memory,,,,,,
,,,,,~42% savings,~72% savings,~90% savings,,Yes,2.5,2.5,Memory,,,,,,
M192ims v2,192,"4,096 GiB",N/A,$31.643/hour,$18.4036/hour,$8.8854/hour,$3.3226/hour,,Yes,2.5,2.5,Memory,,,,,,
,,,,,~42% savings,~72% savings,~90% savings,,Yes,2.5,2.5,Memory,,,,,,
M208s v2,208,"2,850 GiB","4,096 GiB",$22.31/hour,$12.9753/hour,$6.2640/hour,$2.3426/hour,,Yes,2.5,2.5,Memory,,,,,,
,,,,,~42% savings,~72% savings,~90% savings,,Yes,2.5,2.5,Memory,,,,,,
M208ms v2,208,"5,700 GiB","4,096 GiB",$44.62/hour,$25.9505/hour,$12.5279/hour,$4.6851/hour,,Yes,2.5,2.5,Memory,,,,,,
,,,,,~42% savings,~72% savings,~90% savings,,Yes,2.5,2.5,Memory,,,,,,
M416s v2,416,"5,700 GiB","8,192 GiB",$49.58/hour,$28.8352/hour,$13.9205/hour,$5.2059/hour,,Yes,2.5,2.5,Memory,,,,,,
,,,,,~42% savings,~72% savings,~90% savings,,Yes,2.5,2.5,Memory,,,,,,
M416ms v2,416,"11,400 GiB","8,192 GiB",$99.15/hour,$57.6645/hour,$27.8381/hour,$10.4108/hour,,Yes,2.5,2.5,Memory,,,,,,
,,,,,~42% savings,~72% savings,~90% savings,,Yes,2.5,2.5,Memory,,,,,,
DS11-1 v2,1 / 2,14 GiB,28 GiB,$0.149/hour,$0.0882/hour,$0.0583/hour,$0.0522/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~61% savings,~65% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
DS12-1 v2,1 / 4,28 GiB,56 GiB,$0.299/hour,$0.1764/hour,$0.1167/hour,$0.1048/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~61% savings,~65% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
DS12-2 v2,2 / 4,28 GiB,56 GiB,$0.299/hour,$0.1764/hour,$0.1167/hour,$0.1048/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~61% savings,~65% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E4-2as v4,2 / 4,32 GiB,100 GiB,$0.252/hour,$0.1513/hour,$0.1008/hour,$0.0566/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~40% savings,~60% savings,~78% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E4-2ds v4,2 / 4,32 GiB,150 GiB,$0.288/hour,$0.1699/hour,$0.1095/hour,$0.0429/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~85% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E4-2s v3,2 / 4,32 GiB,64 GiB,$0.252/hour,$0.1564/hour,$0.10/hour,$0.0782/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~38% savings,~60% savings,~69% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E4-2s v4,2 / 4,32 GiB,N/A,$0.252/hour,$0.1487/hour,$0.0958/hour,$0.0468/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~81% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
DS13-2 v2,2 / 8,56 GiB,112 GiB,$0.598/hour,$0.3528/hour,$0.2333/hour,$0.2095/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~61% savings,~65% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E8-2as v4,2 / 8,64 GiB,200 GiB,$0.504/hour,$0.3024/hour,$0.2016/hour,$0.1132/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~40% savings,~60% savings,~78% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E8-2ds v4,2 / 8,64 GiB,300 GiB,$0.576/hour,$0.3399/hour,$0.2189/hour,$0.0858/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~85% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E8-2s v3,2 / 8,64 GiB,128 GiB,$0.504/hour,$0.3128/hour,$0.2001/hour,$0.1564/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~38% savings,~60% savings,~69% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E8-2s v4,2 / 8,64 GiB,N/A,$0.504/hour,$0.2974/hour,$0.1916/hour,$0.0935/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~81% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
M8-2ms,2 / 8,218.75 GiB,256 GiB,$1.5365/hour,$0.8836/hour,$0.4299/hour,$0.3227/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~42% savings,~72% savings,~79% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
DS13-4 v2,4 / 8,56 GiB,112 GiB,$0.598/hour,$0.3528/hour,$0.2333/hour,$0.2095/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~61% savings,~65% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E8-4as v4,4 / 8,64 GiB,200 GiB,$0.504/hour,$0.3024/hour,$0.2016/hour,$0.1132/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~40% savings,~60% savings,~78% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E8-4ds v4,4 / 8,64 GiB,300 GiB,$0.576/hour,$0.3399/hour,$0.2189/hour,$0.0858/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~85% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E8-4s v3,4 / 8,64 GiB,128 GiB,$0.504/hour,$0.3128/hour,$0.2001/hour,$0.1564/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~38% savings,~60% savings,~69% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E8-4s v4,4 / 8,64 GiB,N/A,$0.504/hour,$0.2974/hour,$0.1916/hour,$0.0935/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~81% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
DS14-4 v2,4 / 16,112 GiB,224 GiB,$1.196/hour,$0.7058/hour,$0.4666/hour,$0.4190/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~61% savings,~65% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E16-4as v4,4 / 16,128 GiB,400 GiB,$1.008/hour,$0.6048/hour,$0.4032/hour,$0.2264/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~40% savings,~60% savings,~78% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E16-4ds v4,4 / 16,128 GiB,600 GiB,$1.152/hour,$0.6797/hour,$0.4378/hour,$0.1716/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~85% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E16-4s v3,4 / 16,128 GiB,256 GiB,$1.008/hour,$0.6257/hour,$0.4001/hour,$0.3127/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~38% savings,~60% savings,~69% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E16-4s v4,4 / 16,128 GiB,N/A,$1.008/hour,$0.5948/hour,$0.3831/hour,$0.1870/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~81% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
M8-4ms,4 / 8,218.75 GiB,256 GiB,$1.5365/hour,$0.8836/hour,$0.4299/hour,$0.3227/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~42% savings,~72% savings,~79% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
Gs4-4,4 / 16,224 GiB,"3,072 GiB",$3.922/hour,N/A,N/A,$0.3922/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,,,~90% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
M16-4ms,4 / 16,437.5 GiB,256 GiB,$3.073/hour,$1.7673/hour,$0.8597/hour,$0.6454/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~42% savings,~72% savings,~79% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
DS14-8 v2,8 / 16,112 GiB,224 GiB,$1.196/hour,$0.7058/hour,$0.4666/hour,$0.4190/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~61% savings,~65% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E16-8as v4,8 / 16,128 GiB,400 GiB,$1.008/hour,$0.6048/hour,$0.4032/hour,$0.2264/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~40% savings,~60% savings,~78% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E16-8ds v4,8 / 16,128 GiB,600 GiB,$1.152/hour,$0.6797/hour,$0.4378/hour,$0.1716/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~85% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E16-8s v3,8 / 16,128 GiB,256 GiB,$1.008/hour,$0.6257/hour,$0.4001/hour,$0.3127/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~38% savings,~60% savings,~69% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E16-8s v4,8 / 16,128 GiB,N/A,$1.008/hour,$0.5948/hour,$0.3831/hour,$0.1870/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~81% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
Gs4-8,8 / 16,224 GiB,"3,072 GiB",$3.922/hour,N/A,N/A,$0.3922/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,,,~90% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E32-8as v4,8 / 32,256 GiB,800 GiB,$2.016/hour,$1.2096/hour,$0.8064/hour,$0.4528/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~40% savings,~60% savings,~78% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E32-8ds v4,8 / 32,256 GiB,"1,200 GiB",$2.304/hour,$1.3594/hour,$0.8756/hour,$0.3431/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~85% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E32-8s v3,8 / 32,256 GiB,512 GiB,$2.016/hour,$1.2513/hour,$0.8002/hour,$0.6254/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~38% savings,~60% savings,~69% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E32-8s v4,8 / 32,256 GiB,N/A,$2.016/hour,$1.1894/hour,$0.7661/hour,$0.3740/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~81% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
M16-8ms,8 / 16,437.5 GiB,256 GiB,$3.073/hour,$1.7673/hour,$0.8597/hour,$0.6454/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~42% savings,~72% savings,~79% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
Gs5-8,8 / 32,448 GiB,"6,144 GiB",$7.82/hour,N/A,N/A,$0.782/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,,,~90% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
M32-8ms,8 / 32,875 GiB,"1,024 GiB",$6.146/hour,$3.5344/hour,$1.7195/hour,$1.2907/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~42% savings,~72% savings,~79% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E32-16as v4,16 / 32,256 GiB,800 GiB,$2.016/hour,$1.2096/hour,$0.8064/hour,$0.4528/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~40% savings,~60% savings,~78% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E32-16ds v4,16 / 32,256 GiB,"1,200 GiB",$2.304/hour,$1.3594/hour,$0.8756/hour,$0.3431/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~85% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E32-16s v3,16 / 32,256 GiB,512 GiB,$2.016/hour,$1.2513/hour,$0.8002/hour,$0.6254/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~38% savings,~60% savings,~69% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E32-16s v4,16 / 32,256 GiB,N/A,$2.016/hour,$1.1894/hour,$0.7661/hour,$0.3740/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~81% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E64-16s v3,16 / 64,432 GiB,864 GiB,$3.629/hour,$2.3586/hour,$1.5083/hour,$1.1258/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~35% savings,~58% savings,~69% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
Gs5-16,16 / 32,448 GiB,"6,144 GiB",$7.82/hour,N/A,N/A,$0.782/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,,,~90% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E64-16ds v4,16 / 64,504 GiB,"2,400 GiB",$4.608/hour,$2.7188/hour,$1.7511/hour,$0.6862/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~85% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E64-16s v4,16 / 64,504 GiB,N/A,$4.032/hour,$2.3789/hour,$1.5322/hour,$0.7480/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~81% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E64-16as v4,16 / 64,512 GiB,"1,600 GiB",$4.032/hour,$2.4192/hour,$1.6128/hour,$0.9056/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~40% savings,~60% savings,~78% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
M32-16ms,16 / 32,875 GiB,"1,024 GiB",$6.146/hour,$3.5344/hour,$1.7195/hour,$1.2907/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~42% savings,~72% savings,~79% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
M64-16ms,16 / 64,"1,750 GiB","2,048 GiB",$10.337/hour,$5.9285/hour,$2.8841/hour,$2.1708/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~43% savings,~72% savings,~79% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E96-24as v4,24 / 96,672 GiB,"2,400 GiB",$6.048/hour,$3.6288/hour,$2.4193/hour,$1.3584/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~40% savings,~60% savings,~78% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E64-32s v3,32 / 64,432 GiB,864 GiB,$3.629/hour,$2.3586/hour,$1.5083/hour,$1.1258/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~35% savings,~58% savings,~69% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E64-32ds v4,32 / 64,504 GiB,"2,400 GiB",$4.608/hour,$2.7188/hour,$1.7511/hour,$0.6862/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~85% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E64-32s v4,32 / 64,504 GiB,N/A,$4.032/hour,$2.3789/hour,$1.5322/hour,$0.7480/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~41% savings,~62% savings,~81% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E64-32as v4,32 / 64,512 GiB,"1,600 GiB",$4.032/hour,$2.4192/hour,$1.6128/hour,$0.9056/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~40% savings,~60% savings,~78% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
M64-32ms,32 / 64,"1,750 GiB","2,048 GiB",$10.337/hour,$5.9285/hour,$2.8841/hour,$2.1708/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~43% savings,~72% savings,~79% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
M128-32ms,32 / 128,"3,800 GiB","4,096 GiB",$26.688/hour,$15.3061/hour,$7.4461/hour,$5.6045/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~43% savings,~72% savings,~79% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
E96-48as v4,48 / 96,672 GiB,"2,400 GiB",$6.048/hour,$3.6288/hour,$2.4193/hour,$1.3584/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~40% savings,~60% savings,~78% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
M128-64ms,64 / 128,"3,800 GiB","4,096 GiB",$26.688/hour,$15.3061/hour,$7.4461/hour,$5.6045/hour,,Yes,2.5,2.5,Memory,,TRUE,,,,
,,,,,~43% savings,~72% savings,~79% savings,,Yes,2.5,2.5,Memory,,TRUE,,,,
H8,8,56 GiB,"1,000 GiB",$0.796/hour,$0.5378/hour,$0.3531/hour,$0.1672/hour,,No,3.2,3.6,High Performance,,,,,,
,,,,,~32% savings,~56% savings,~79% savings,,No,3.2,3.6,High Performance,,,,,,
H8m,8,112 GiB,"1,000 GiB",$1.066/hour,$0.7207/hour,$0.4731/hour,$0.2239/hour,,No,3.2,3.6,High Performance,,,,,,
,,,,,~32% savings,~56% savings,~79% savings,,No,3.2,3.6,High Performance,,,,,,
H16r,16,112 GiB,"2,000 GiB",$1.75/hour,$1.1834/hour,$0.7767/hour,$0.3675/hour,,No,3.2,3.6,High Performance,,,,,,
,,,,,~32% savings,~56% savings,~79% savings,,No,3.2,3.6,High Performance,,,,,,
H16,16,112 GiB,"2,000 GiB",$1.591/hour,$1.0757/hour,$0.7061/hour,$0.3342/hour,,No,3.2,3.6,High Performance,,,,,,
,,,,,~32% savings,~56% savings,~79% savings,,No,3.2,3.6,High Performance,,,,,,
H16mr,16,224 GiB,"2,000 GiB",$2.345/hour,$1.5857/hour,$1.0408/hour,$0.4925/hour,,No,3.2,3.6,High Performance,,,,,,
,,,,,~32% savings,~56% savings,~79% savings,,No,3.2,3.6,High Performance,,,,,,
H16m,16,224 GiB,"2,000 GiB",$2.132/hour,$1.4415/hour,$0.9462/hour,$0.4478/hour,,No,3.2,3.6,High Performance,,,,,,
,,,,,~32% savings,~56% savings,~79% savings,,No,3.2,3.6,High Performance,,,,,,
H8 Promo,8,56 GiB,"1,000 GiB",$0.477/hour,– –Blank,– –Blank,– –Blank,,No,3.2,3.6,High Performance,,,,,,
H8m Promo,8,112 GiB,"1,000 GiB",$0.64/hour,– –Blank,– –Blank,– –Blank,,No,3.2,3.6,High Performance,,,,,,
H16 Promo,16,112 GiB,"2,000 GiB",$0.955/hour,– –Blank,– –Blank,– –Blank,,No,3.2,3.6,High Performance,,,,,,
H16r Promo,16,112 GiB,"2,000 GiB",$1.05/hour,– –Blank,– –Blank,– –Blank,,No,3.2,3.6,High Performance,,,,,,
H16m Promo,16,224 GiB,"2,000 GiB",$1.279/hour,– –Blank,– –Blank,– –Blank,,No,3.2,3.6,High Performance,,,,,,
H16mr Promo,16,224 GiB,"2,000 GiB",$1.407/hour,– –Blank,– –Blank,– –,,No,3.2,3.6,High Performance,,,,,,
HB120rs v2,120,456 GiB,900 GiB,$3.60/hour,$2.70/hour,$1.80/hour,$0.8435/hou,,No,3.2,3.6,High Performance,,,,,,
,,,,,~25% savings,~50% savings,,,No,3.2,3.6,High Performance,,,,,,
HC44rs,44,352 GiB,700 GiB,$3.168/hour,$2.6929/hour,$2.2177/hour,$0.7689/hour,,No,3.2,3.6,High Performance,,,,,,
,,,,,~15% savings,~30% savings,~76% savings,,No,3.2,3.6,High Performance,,,,,,
L4s,4,32 GiB,678 GiB,$0.312/hour,$0.2753/hour,N/A,$0.0654/hour,,Yes,2,2,Storage Optimized,,,,,,
,,,,,~12% savings,,~79% savings,,Yes,2,2,Storage Optimized,,,,,,
L8s,8,64 GiB,"1,388 GiB",$0.624/hour,$0.5506/hour,N/A,$0.1307/hour,,Yes,2,2,Storage Optimized,,,,,,
,,,,,~12% savings,,~79% savings,,Yes,2,2,Storage Optimized,,,,,,
L16s,16,128 GiB,"2,807 GiB",$1.248/hour,$1.1012/hour,N/A,$0.2614/hour,,Yes,2,2,Storage Optimized,,,,,,
,,,,,~12% savings,,~79% savings,,Yes,2,2,Storage Optimized,,,,,,
L32s,32,256 GiB,"5,630 GiB",$2.496/hour,$2.2024/hour,N/A,$0.5228/hour,,Yes,2,2,Storage Optimized,,,,,,
,,,,,~12% savings,,~79% savings,,Yes,2,2,Storage Optimized,,,,,,
L8s v2,8,64 GiB,80 GiB,$0.624/hour,$0.3975/hour,$0.2640/hour,$0.1311/hour,,No,2.55,3,Storage Optimized,,,1 x 1.9 TB,,,
,,,,,~36% savings,~58% savings,~79% savings,,No,2.55,3,Storage Optimized,,,,,,
L16s v2,16,128 GiB,160 GiB,$1.248/hour,$0.7950/hour,$0.5279/hour,$0.2621/hour,,No,2.55,3,Storage Optimized,,,2 x 1.9 TB,,,
,,,,,~36% savings,~58% savings,~79% savings,,No,2.55,3,Storage Optimized,,,,,,
L32s v2,32,256 GiB,320 GiB,$2.496/hour,$1.5900/hour,$1.0559/hour,$0.5242/hour,,No,2.55,3,Storage Optimized,,,4 x 1.9 TB,,,
,,,,,~36% savings,~58% savings,~79% savings,,No,2.55,3,Storage Optimized,,,,,,
L48s v2,48,384 GiB,480 GiB,$3.744/hour,$2.3850/hour,$1.5838/hour,$0.7863/hour,,No,2.55,3,Storage Optimized,,,6 x 1.9 TB,,,
,,,,,~36% savings,~58% savings,~79% savings,,No,2.55,3,Storage Optimized,,,,,,
L64s v2,64,512 GiB,640 GiB,$4.992/hour,$3.1800/hour,$2.1117/hour,$1.0484/hour,,No,2.55,3,Storage Optimized,,,8 x 1.9 TB,,,
,,,,,~36% savings,~58% savings,~79% savings,,No,2.55,3,Storage Optimized,,,,,,
L80s v2,80,640 GiB,800 GiB,$6.24/hour,$3.9749/hour,$2.6396/hour,$1.3104/hour,,No,2.55,3,Storage Optimized,,,10 x 1.9 TB,,,
,,,,,~36% savings,~58% savings,~79% savings,,No,2.55,3,Storage Optimized,,,,,,
NC6,6,56 GiB,340 GiB,$0.90/hour,$0.5733/hour,$0.3996/hour,$0.1227/hour,,No,,,GPU Optimized,,,,1X K80,NVIDIA Tesla,
,,,,,~36% savings,~56% savings,~86% savings,,No,,,GPU Optimized,,,,,NVIDIA Tesla,
NC12,12,112 GiB,680 GiB,$1.80/hour,$1.1466/hour,$0.7991/hour,$0.2454/hour,,No,,,GPU Optimized,,,,2X K80,NVIDIA Tesla,
,,,,,~36% savings,~56% savings,~86% savings,,No,,,GPU Optimized,,,,,NVIDIA Tesla,
NC24r,24,224 GiB,"1,440 GiB",$3.96/hour,$2.5224/hour,$1.7578/hour,$0.5398/hour,,No,,,GPU Optimized,,,,4X K80,NVIDIA Tesla,
,,,,,~36% savings,~56% savings,~86% savings,,No,,,GPU Optimized,,,,,NVIDIA Tesla,
NC24,24,224 GiB,"1,440 GiB",$3.60/hour,$2.2932/hour,$1.5981/hour,$0.4907/hour,,No,,,GPU Optimized,,,,4X K80,NVIDIA Tesla,
,,,,,~36% savings,~56% savings,~86% savings,,No,,,GPU Optimized,,,,,NVIDIA Tesla,
NC6 Promo,6,56 GiB,340 GiB,$0.396/hour,– –Blank,– –Blank,– –Blank,,No,,,GPU Optimized,,,,1x K80,NVIDIA Tesla,
NC12 Promo,12,112 GiB,680 GiB,$0.792/hour,– –Blank,– –Blank,– –Blank,,No,,,GPU Optimized,,,,2x K80,NVIDIA Tesla,
NC24 Promo,24,224 GiB,"1,440 GiB",$1.584/hour,– –Blank,– –Blank,– –Blank,,No,,,GPU Optimized,,,,4X K80,NVIDIA Tesla,
NC24r Promo,24,224 GiB,"1,440 GiB",$1.742/hour,– –Blank,– –Blank,– –Blank,,No,,,GPU Optimized,,,,4X K80,NVIDIA Tesla,
NC6s v2,6,112 GiB,336 GiB,$2.07/hour,$1.3187/hour,$0.9189/hour,$0.2821/hour,,No,,,GPU Optimized,,,,1X P100,NVIDIA Tesla P100,
,,,,,~36% savings,~56% savings,~86% savings,,No,,,GPU Optimized,,,,,NVIDIA Tesla P100,
NC12s v2,12,224 GiB,672 GiB,$4.14/hour,$2.6371/hour,$1.8378/hour,$0.5641/hour,,No,,,GPU Optimized,,,,2X P100,NVIDIA Tesla P100,
,,,,,~36% savings,~56% savings,~86% savings,,No,,,GPU Optimized,,,,,NVIDIA Tesla P100,
NC24rs v2,24,448 GiB,"1,344 GiB",$9.108/hour,$5.8015/hour,$4.0430/hour,$1.2409/hour,,No,,,GPU Optimized,,,,4X P100,NVIDIA Tesla P100,
,,,,,~36% savings,~56% savings,~86% savings,,No,,,GPU Optimized,,,,,NVIDIA Tesla P100,
NC24s v2,24,448 GiB,"1,344 GiB",$8.28/hour,$5.2742/hour,$3.6755/hour,$1.1281/hour,,No,,,GPU Optimized,,,,4X P100,NVIDIA Tesla P100,
,,,,,~36% savings,~56% savings,~86% savings,,No,,,GPU Optimized,,,,,NVIDIA Tesla P100,
NC6s v3,6,112 GiB,336 GiB,$3.06/hour,$1.9492/hour,$0.9792/hour,$0.5377/hour,,No,,,GPU Optimized,,,,1X V100,NVIDIA Tesla P100,
,,,,,~36% savings,~68% savings,~82% savings,,No,,,GPU Optimized,,,,,NVIDIA Tesla P100,
